identity_id,application,entitlement,access_type,source,status,granted_date,expiration_date,request_id
NT002,Google Workspace,Standard User,Birthright,Employee,Active,2026-02-02,,
NT002,Slack,Standard User,Birthright,Employee,Active,2026-02-02,,
NT002,Jira,Standard User,Birthright,Employee,Active,2026-02-02,,
NT002,GitHub,Developer,Role-Based,Software Engineer,Active,2026-02-02,,
NT002,AWS,Developer,Role-Based,Software Engineer,Active,2026-02-02,,
NT004,Google Workspace,Standard User,Birthright,Employee,Active,2026-03-09,,
NT004,Slack,Standard User,Birthright,Employee,Active,2026-03-09,,
NT004,Jira,Standard User,Birthright,Employee,Active,2026-03-09,,
NT004,HR System,Payroll Read,Role-Based,Financial Analyst,Active,2026-03-09,,
NT004,Finance System,Finance User,Role-Based,Financial Analyst,Active,2026-03-09,,
NT008,Google Workspace,Standard User,Birthright,Employee,Active,2026-02-16,,
NT008,Slack,Standard User,Birthright,Employee,Active,2026-02-16,,
NT008,Jira,IT Support,Role-Based,IT Support Analyst,Active,2026-02-16,,
NT010,Google Workspace,Standard User,Birthright,Employee,Active,2026-05-04,,
NT010,Slack,Standard User,Birthright,Employee,Active,2026-05-04,,
NT010,Jira,Standard User,Birthright,Employee,Active,2026-05-04,,
NT010,GitHub,Security Read,Role-Based,Security Analyst,Active,2026-05-04,,
NT010,AWS,Security Audit,Role-Based,Security Analyst,Active,2026-05-04,,
NT013,Google Workspace,Standard User,Birthright,Employee,Active,2026-09-14,,
NT013,Slack,Standard User,Birthright,Employee,Active,2026-09-14,,
NT013,Jira,Standard User,Birthright,Employee,Active,2026-09-14,,
NT013,GitHub,Security Read,Role-Based,Security Analyst,Active,2026-09-14,,
NT013,AWS,Security Audit,Role-Based,Security Analyst,Active,2026-09-14,,
NT013,GitHub,Developer,Temporary Exception,REQ-090,Active,2026-09-14,2026-10-14,REQ-090
NT013,AWS,Developer,Temporary Exception,REQ-090,Active,2026-09-14,2026-10-14,REQ-090
